,predicted_mean
3085,1092.1748683550522
3086,1090.530958947658
3087,1095.5948924734662
3088,1101.2341529606126
3089,1096.1950466195062
3090,1097.965541757178
3091,1097.4680285986358
3092,1099.0211390993138
3093,1099.6973186605849
3094,1100.2089613724465
3095,1101.0187642640706
3096,1097.5094633261933
3097,1097.206849307255
3098,1097.5853270904768
3099,1098.8579599734173
3100,1100.8978322625649
3101,1099.974446804769
3102,1102.4214941241323
3103,1102.057069598253
3104,1103.493472390969
3105,1103.5679744665986
3106,1103.7003070253425
3107,1104.3765572863235
3108,1102.6563836231153
3109,1102.423659615129
3110,1102.829527593642
3111,1104.024278106863
3112,1105.9855437595986
3113,1105.1531615950853
3114,1107.6148627342675
